PU_zone_name,trip_count,total_revenue,total_time_min,total_miles,avg_min_ptrip,avg_dist_ptrip,avg_rev_ptrip,avg_dist_pmin,avg_rev_pmin
Hamilton Heights,9520,144274.06999999823,150487.4,28456.11,15.8075,2.9890871848739495,15.1548392857141,0.18909297389681795,0.9587119586091476
Hammels/Arverne,16,478.9200000000001,200.2833333333333,62.760000000000005,12.517708333333331,3.9225000000000003,29.932500000000005,0.31335607888824174,2.3912124490305406
Heartland Village/Todt Hill,27,641.3100000000001,325.75000000000006,81.39999999999998,12.064814814814817,3.014814814814814,23.752222222222226,0.2498848810437451,1.9687183422870298
Highbridge,402,6680.909999999998,7226.183333333335,1328.3199999999997,17.975580431177452,3.3042786069651733,16.619179104477606,0.18382041234307636,0.9245420011947288
Highbridge Park,43,1361.0800000000002,756.4666666666668,294.56,17.592248062015507,6.850232558139535,31.653023255813956,0.38938926588525596,1.7992597162245525
Hillcrest/Pomonok,121,2362.100000000001,1909.45,504.59999999999997,15.780578512396694,4.170247933884297,19.521487603305793,0.26426457880541515,1.2370577915106449
Hollis,35,801.3199999999999,2057.516666666667,156.07,58.786190476190484,4.459142857142857,22.89485714285714,0.07585357753278628,0.38945978566394757
Homecrest,141,2933.88,2317.4166666666665,450.48,16.435579196217493,3.1948936170212767,20.807659574468087,0.19438886691358914,1.2660131612068037
Howard Beach,68,4374.849999999999,1986.3333333333335,1017.28,29.210784313725494,14.959999999999999,64.3360294117647,0.5121396207417351,2.202475247524752
Hudson Sq,49440,725155.950000034,751317.6333333335,123407.9199999999,15.196554072276165,2.4961148867313896,14.667393810680299,0.16425532228290998,0.9651789307576486
Hunts Point,146,2708.83,2071.25,559.3500000000001,14.186643835616438,3.831164383561645,18.5536301369863,0.2700543150271576,1.3078237779118889
Inwood,770,13763.569999999992,10432.166666666668,2730.9900000000002,13.5482683982684,3.54674025974026,17.874766233766223,0.26178550317128113,1.3193395427603718
Inwood Hill Park,51,1062.77,767.9333333333334,202.48,15.057516339869283,3.9701960784313726,20.838627450980393,0.26366872124316343,1.383935237433805
JFK Airport,203377,11529307.580003267,8610942.750000017,3220795.690000002,42.33980612360305,15.836577833284991,56.68933842078144,0.37403519957207887,1.338913509789999
Jackson Heights,4847,74041.60000000006,73617.16666666667,14884.19,15.188192008802696,3.0708046214153084,15.275758200949054,0.2021836845119911,1.005765412505689
Jamaica,750,36601.950000000026,24671.350000000002,7378.340000000001,32.895133333333334,9.837786666666668,48.802600000000034,0.29906510993520824,1.4835811579017777
Jamaica Bay,4,148.01,123.93333333333334,40.2,30.983333333333334,10.05,37.0025,0.3243679397525551,1.1942711135018826
Jamaica Estates,102,2198.9100000000003,2934.616666666667,495.69000000000005,28.77075163398693,4.859705882352942,21.557941176470592,0.16891132856647945,0.749300590082748
Kensington,343,5802.1,4738.6,1205.52,13.815160349854228,3.5146355685131194,16.915743440233236,0.254404254421137,1.2244333769467775
Kew Gardens,449,13411.069999999992,13192.333333333332,2310.6099999999997,29.381588715664435,5.146124721603563,29.86875278396435,0.17514793945978724,1.0165805897364626
Kew Gardens Hills,184,3751.3100000000004,2571.8500000000004,726.3599999999999,13.977445652173914,3.9476086956521734,20.38755434782609,0.28242704667846097,1.45860372883333
Kingsbridge Heights,116,2641.3900000000003,3173.4166666666674,491.7300000000001,27.357040229885065,4.239051724137932,22.770603448275864,0.15495286363278274,0.8323489404164806
Kips Bay,113722,1466362.059999965,1514510.4833333332,242021.5900000001,13.317656067720698,2.1281861908865487,12.89426900687611,0.15980185853010886,0.9682085902585521
LaGuardia Airport,233164,9821089.880002022,7667790.383333328,2279603.830000004,32.88582449835021,9.776825882211678,42.1209529773122,0.297296054800212,1.2808239908786623
Laurelton,29,676.7499999999999,1850.9833333333331,169.35,63.827011494252865,5.839655172413793,23.33620689655172,0.09149190970565196,0.3656164741263652
Lenox Hill East,160396,2146036.3699996793,2223446.483333327,363953.060000001,13.86223149787605,2.2690906257013954,13.379612770890043,0.16368869803170305,0.9651846293967927
Lenox Hill West,212473,2485559.5899994546,2504615.0666666646,394577.1400000005,11.787921602587927,1.8570695570731361,11.698237376040506,0.1575400328982027,0.9923918541731962
Lincoln Square East,264065,3358743.619999091,3652249.0333333327,536787.8699999999,13.830871313249892,2.0327868895915775,12.719382046083696,0.14697460800204104,0.9196370754963648
Lincoln Square West,101344,1258537.7200000458,1325517.5833333333,201579.19999999966,13.079388847226607,1.9890590464161635,12.418472923903199,0.1520758400602127,0.9494688986585523
Little Italy/NoLiTa,86345,1244357.960000025,1420140.7500000007,211750.7800000002,16.44728415079044,2.4523803347038067,14.411465168799873,0.14910548831163398,0.8762215716998646
Long Island City/Hunters Point,9383,162885.76999999792,105114.10000000003,22810.94,11.202611105190242,2.4310924011510178,17.359668549504203,0.21701122875047202,1.549609139021291
Long Island City/Queens Plaza,8818,124186.70999999871,128197.91666666663,24351.35999999999,14.538207832463895,2.76155137219324,14.083319346790509,0.18995129276021774,0.9687108279840644
Longwood,89,1532.6100000000004,1099.2833333333333,258.96999999999997,12.351498127340824,2.909775280898876,17.22033707865169,0.23558075715996785,1.3941901541913675
Lower East Side,111838,1703861.9599998633,1871963.9333333354,316836.89000000025,16.73817426396516,2.8329985335932353,15.235089683290681,0.16925373633444998,0.9102002072047727
Madison,64,994.37,896.0,183.73000000000002,14.0,2.8707812500000003,15.53703125,0.20505580357142858,1.1097879464285714
Manhattan Beach,52,1618.5300000000002,983.4166666666667,327.96999999999997,18.911858974358974,6.3071153846153845,31.125576923076927,0.33350055080077956,1.6458232353190407
Manhattan Valley,77423,986988.8600000786,994721.7166666675,168828.94000000026,12.8478839190766,2.1806044715394686,12.748005889723707,0.16972479555965606,0.9922261105422511
Manhattanville,7930,108097.55999999926,112139.13333333333,20938.00999999999,14.141126523749474,2.6403543505674643,13.63147036569978,0.18671456946043805,0.9639592958033615
Marble Hill,85,1312.3300000000002,1279.85,301.76000000000005,15.057058823529411,3.550117647058824,15.439176470588237,0.23577763019103806,1.0253779739813262
Marine Park/Floyd Bennett Field,19,1650.04,562.9499999999999,348.29999999999995,29.62894736842105,18.331578947368417,86.84421052631579,0.6187050359712231,2.931059596767031
Marine Park/Mill Basin,88,2198.82,2087.266666666667,573.4200000000001,23.718939393939397,6.516136363636364,24.98659090909091,0.27472292312114727,1.0534446964131718
Mariners Harbor,5,258.0,234.36666666666667,31.9,46.873333333333335,6.38,51.6,0.13611150618688664,1.1008391409472336
Maspeth,381,14604.299999999996,7659.4833333333345,2002.93,20.103630796150483,5.257034120734908,38.331496062992116,0.2614967502159632,1.9066951861417971
Meatpacking/West Village West,79581,1147321.6200000322,1283751.2000000002,191774.16000000032,16.131378092760837,2.4097983186941647,14.417029441701313,0.14938576883121923,0.8937258403341957
Melrose South,488,7236.859999999994,7835.000000000001,1398.87,16.055327868852462,2.8665368852459014,14.829631147540972,0.17854116145500953,0.9236579451180591
Middle Village,134,2993.620000000001,2641.85,594.6600000000001,19.715298507462688,4.437761194029851,22.340447761194035,0.22509226489013384,1.1331529042148498
Midtown Center,354922,5022166.4999994775,5490032.066666681,794953.0199999982,15.468277724871045,2.239796405970884,14.150056913912007,0.14479934003056935,0.9147790830753249
Midtown East,308292,4340427.979999253,4518070.383333318,697543.2199999997,14.655165827635223,2.262605646594786,14.078951059382835,0.15438963115164445,0.9606817981434355
Midtown North,241799,3429964.6499991524,3796585.349999997,552063.7699999998,15.701410469025914,2.2831515845805805,14.185189558265966,0.14541060429472505,0.9034340950610146
Midtown South,204031,2876465.789999394,3109908.016666668,467331.6699999993,15.242330903963946,2.2904934544260396,14.098180129487158,0.15027186254238648,0.9249359706408657
Midwood,183,3284.309999999999,2842.55,554.15,15.533060109289618,3.028142076502732,17.947049180327863,0.1949481979208809,1.1554097553253238
